class,text
1,Планирование и формирование себестоимости объекта;
1,Обеспечение разработки графика финансирования объекта (ов);
1,Контроль стоимости строительства и проектирования в процессе выполнения работ. Визирование КС-2 и КС-3.
1, Обеспечение выполнения проектных строительно-монтажных и других работ с надлежащим качеством: 
1,Принимать участие в формировании ТЗ на разработку Стадии «Проект» и «Рабочей документации»;
1,Принимать участие в разработке решений на этапе Стадии «Проект» по фасадным системам кровле несущим конструкциям монтируемому оборудованию инженерному обеспечению и т. д.;
1,Обеспечение полноты и качества выдачи проектной организации исходных данных для проектирования;
1,Обеспечение высокого и качественного уровня подготовки документации для передачи в государственные согласующие органы: ДПиООС ЦГСЭН (Роспотребнадзор) УКБ ГлавАПУ АПО округа ГЭЭ (государственная экологическая экспертиза) и др.
1,Организация проведения в установленном порядке согласования утверждения градостроительной и проектной документации а также внесение в соответствующую документацию исправлений по замечаниям и заключениям согласующих организаций и органов экспертизы;
1,Принимать участие в подборе материалов и оборудования;
1,Соблюдать законодательство в сфере окружающей среды противопожарных требований СНиПов и другой нормативной документации;
1,Организовывать работу строительного контроля на строительной площадке в части соблюдения качества строительно-монтажных работ и сроков строительства;
1,Принимать участие в работе комиссий по качеству и осуществлять контроль за устранением замечаний;
1,Своевременно устранять замечания по предписаниям Мосгосстройнадзора (Госстройнадзора) с подготовкой извещений по устранению;
1,Осуществлять совместно со специалистами строительного контроля приемку скрытых работ и конструкций оформлять соответствующие акты а также участвовать в приемке работ по монтажу и пуско-наладке оборудования инженерных систем и сетей;
1,Совместно со специалистами строительного контроля обеспечить контроль за своевременным оформлением исполнительной документации и последующей передачей ее в ПТО и эксплуатирующей организации;
1,Контроль над своевременной подготовкой комплекта технической документации для передачи построенных наружных коммуникаций зданий и сооружений на эксплуатирующей организации.
1,Контроль за подготовкой положительного заключения по проектной документации (своевременное получение замечаний передача их проектной организации)
1,Получение положительного заключения в определенные нормативом сроки и оптимизация сокращения сроков согласования.
1,Обеспечение выполнения планов капитального строительства своевременной выдачи проектно-сметной и технической документации для производства строительно-монтажных работ соблюдения установленных сроков строительства;
1,Своевременное обеспечение проведения тендерных торгов (составления ТЗ получения Коммерческих предложений от участников торгов и т. д.) заключения в установленные сроки строительно-монтажными и другими организациями договоров и соглашений;
1,Контролировать своевременное получение и выдачу в производство работ рабочей документации;
1,Контролировать наличие актуальной рабочей документации у специалистов строительного контроля на строительной площадке;
1,Контроль над организацией и получением ТУ на механизацию строительства и ТУ на подключение к инженерным сетям на период эксплуатации объекта;
1,Осуществление контроля соблюдения строительными организациями поставщиками оборудования и материалов договорных обязательств;
1,Подготовка документов и оформление разрешений на строительство в Комитете Мосгостройнадзора (Государственного Строительного надзора);
1,Обеспечение своевременного вывода генподрядчика на объект (оформление порубочного билета вынос коммуникаций и т.д.);
1,Организация и контроль над проведением технической инвентаризации (на построенном здании и придомовой территории) присвоение адреса объекту обеспечение выноса геодезических осей и отметок в натуру Мосгоргеотрестом (Мособлгеотреста и др.) обеспечение проверки посадки здания Мосгоргеотрестом (Мособлгеотреста и др.);
1,Своевременное обеспечение заключения договоров по ведению технического надзора за строительством наружных инженерных коммуникаций с городскими службами обеспечение заключения договоров на контрольную геодезическую съемку с Мосгоргеотрестом (Мособлгеотреста и др.);
1,Организация сдачи готовых строительных объектов Мосгосстройнадзору (Государственному Строительному надзору) а также их ввод в эксплуатацию в установленные сроки;
1,Своевременная подготовка документов и оформление разрешения на ввод объекта в эксплуатацию в Комитете Мосгосстройнадзора (Государственного Строительного надзора).
2,Действующее законодательство РФ;
2,Обязательный опыт работы со стороны Технического заказчика г. Москвы от 5 лет приветствуется опыт в сфере проектирования;
2,Законодательные и нормативные правовые акты распорядительные и нормативные материалы по вопросам капительного строительства;
2,Основы гражданского жилищного земельного законодательства в строительной и инвестиционной сферах управления персоналом.
2,Распорядительные и нормативные материалы других органов по вопросам капитального строительства касающиеся деятельности Компании а также профиль специализацию и особенности структуры Компании;
2,Этику делового общения;
2,Правила установления деловых контактов;
2,Методы обработки информации с использованием современных технических средств коммуникации и связи персональных компьютеров;
2,Методические нормативно-правовые документы в сфере проектирования строительства и эксплуатации правила и нормы охраны труда техники безопасности производственной санитарии и противопожарной защиты.;
2,Технологию производства и способы ведения строительных работ;
2,Порядок разработки и оформления проектно-сметной и другой технической документации в области капитального строительства;
2,Порядок заключения и исполнения хозяйственных и финансовых договоров;
2,Порядок ввода в эксплуатацию объектов капитального строительства;
2,Высшее образование (ПГС)
2,Уверенный пользователь Project; AutoCad; Revit.
2,Высокие коммуникативные навыки умение вести переговоры и деловую переписку.
1,Выполнение производственных заданий;
1,Соблюдение технологической последовательности работ;
1,Сварка металлоконструкций и арматуры;
1,Знание технологии сварки.
0,Ответственность;
0,Исполнительность стрессоустойчивость работа в команде.
2,График работы 6/1 или вахта 40/20;
2,Питание проезд
2,Заработная плата 2 раза в месяц;
2, Умение работать в команде и самостоятельно; 
2, Высокая мотивация на результат; 
2, Мы ждем ТЕБЯ!!! 
1, Обеспечивает выполнение плана строительно-монтажных работ на участке в соответствии с рабочими чертежами проектом производства работ производственным планом и нормативными документами 
1, Организует приемку материалов конструкций изделий их складирование учет и отчетность; 
1, Производит расстановку бригад и не входящих в их состав звеньев и отдельных работников на участке устанавливает их производственные задания осуществляет производственный инструктаж; 
1, Обеспечивает правильность и своевременность оформления первичных документов простоев; 
1, Обеспечивает бригады и работников инструментами приспособлениями средствами малой механизации транспортом спецодеждой защитными средствами; 
1, Обеспечивает применение в соответствии с назначением технологической оснастки (лесов подмостей защитных приспособлений креплений стенок котлованов и траншей подкосов кондукторов и других устройств) строительных машин энергетических установок транспортных средств и средств защиты работающих; 
1, Контролирует обеспечение рабочих мест знаками безопасности предупредительными надписями и плакатами. 
0, Высшее профессиональное (техническое) образование/ среднее профессиональное (техническое) образование в области строительства; 
0,Стаж работы в строительстве на инженерно-технических должностях не менее одного года;
2,Вахтовый метод работы: 20х10;
2,Место работы: Московская обл. Ногинский р-он д.Ивашево;
2,Соцпакет (оплата проезда свыше 7 000 руб. питание проживание);
2,Трудоустройство строгом соответствии с Трудовым законодательством РФ.
1,пятидневная рабочая неделя: Пн-Пт - с 9:00 до 18:00 Выходные дни: суббота воскресенье;
1,полная занятость полный день
1,Подготовка графических материалов для отдела продаж (планировки квартир коммерческих помещений)
0,Профильное среднее специальное /высшее образование рассмотрим в том числе студентов старших курсов (архитектура строительство);
0,Высокая степень обучаемости;
0,Базовые знания программы AutoCAD;
0,Усидчивость внимательность целеустремленность;
0,Умение работать в команде
2,График работы 5/2 с 8.00-17.00;
2,Работа в крупной стабильной компании в команде профессионалов;
2,Интересные разнообразные задачи;
2,Район работы г. Екатеринбург ул. Педагогическая 5а
1,Организация производства работ на строительном участке;
1,Взаимодействие со службами Заказчика/Генподрядчика/Проектировщика на строительном объекте (согласование работы решение возникающих вопросов с тех. надзором или ответственным на объекте согласование решений по технологии производства работ);
1,Сдача/подтверждение работ (выполненных объёмов) ответственным представителям Заказчика на участке;
1,Взаимодействие со службой ПТО для формирования исполнительной документации;
1,Формирование списков/заявок на закупку требуемого материала на строительный объект;
1,Ведение учета поступившего материала/оборудования;
1,Согласование ввоза/вывоза материалов/оборудования/сотрудников на объекте.
0,Среднее-специальное или Высшее образование (техническое в сфере строительства);
0,Опыт работы на должности ИТР не менее 3-х лет;
0,Умение работы с чертежами и тех. документацией;
0,Знание СНиП и ГОСТов основ техники безопасности;
0,Знание технологии производства работ и контроля качества;
0,Ответственность честность организаторские навыки трудолюбие умение работать в команде и режиме многозадачности исполнительность;
2,"Официальное трудоустройство по ТК РФ и стабильная ""белая"" заработная плата (срочный трудовой договор на проект ориентировочно до конца 2023 г.)."
2,Место работы: г. Верхняя Тура;
2,Иногородним предоставляется служебная квартира/комната либо компенсация ГСМ (всё обсуждается!);
2,График работы 5/2 с 8:00 до 17:00 (9:00-18:00).
1,Помощь на объекте электромонтажникам
1,Покраска опор;
1,Бетонные работы;
1,Погрузо-разгрузочные работы;
0,Ответственность к работе;
0,Желателен опыт работы в строительстве.
2,Постоянная работа;
2,Стабильная конкурентная заработная плата;
2,Трудоустройство согласно ТК РФ с первого дня;
2,Обучение;
2,Спецодежда компании;
2,Предоставление жилья;
2,Свой большой автопарк строительной техники и база;
2,Присутствует работа в выходные дни по согласию работника оплата в двойном размере согласно ТК РФ. ​​​​​​
1, Корректировка/актуализация ГРП. 
1, Корректировка/актуализация бюджета проекта. 
1, Администрирование проекта (документооборот ведение деловой переписки ведение протоколов). 
1, Оформление необходимой технической документации (журналы приказы инструкции формы реестров АОСР и т.д.) и их своевременная актуализация. 
1, Проведение контроль сопровождения подписания ИД подрядчика до подписания форм КС2/3. 
1, При получении ИД от Подрядчика проверка и формирование папки ИД/ЗОС. 
1, Ведение/контроль исполнения договорных отношений с подрядными организациями. 
1, Контроль/проверка форм КС-2 КС-3. 
1, Ведение отчетности для банков (проектное финансирование 214ФЗ). 
1, Ведение нескольких объектов. 
1, План-факторный анализ выполнения бюджета (БДР; БДДС и т.д.). 
1, Подготовка презентаций и отчетности. 
0,Высшее строительное/экономическое образование.
0,Опыт работы в девелоперской структуре не менее 3-х лет.
0,"Знание программных продуктов на уровне ""уверенный пользователь""."
0,Опыт составления графиков/бюджетов и их актуализации.
0,Навыки работы в программных продуктах строительного сегмента: MS Project; 1С; AutoCAD и т.д.
2,Работа в стабильно развивающейся компании.
2,Белая зарплата.
2,Интересные проекты.
2,Корпоративное обучение и повышение квалификации.
2,Ультра-активный и дружный коллектив.
1,Подготовка плана затрат на строительство контроль изменений в плане затрат и бюджете в ходе проектирования и строительства
1,Проверка и анализ смет и актов выполненных работ оценка объёмов и стоимости работ
1,Ежедневная подготовка заявок на оплаты в 1С
1,Составление калькуляций затрат согласно проекта (требуются навыки чтения схем и чертежей)
1,Контроль цен на материалы и работы по проекту
1,Подготовка и анализ стоимости альтернативных проектных решений (расчет экономический эффективности вносимых изменений)
1,Проверка коммерческих предложений подрядчиков
1,Отслеживание изменений в плане затрат и бюджете в ходе проектирования и строительства актуализация данных;
1,Проверка и учет выплат проектировщикам и подрядчикам
1,Подготовка ежемесячных данных для платёжного календаря
1,Подготовка калькуляций затрат по видам работ для проведения тендеров в соответствии с графиком проведения тендеров
0,Высшее инженерно-строительное образование
0,Опыт работы не менее 3 лет в сфере строительства
0,Умение работать с проектной документацией (составление смет по чертежам/спецификациям составление ведомостей объемов работ расчет стоимости оборудования/материалов)
0,Знание специализированных программ «ГрандСмета» «AutoCAD» «1С» электронного документооборота будет преимуществом
0,Знание:
0,законодательных и нормативных правовых актов методических материалов по материально-техническому снабжению строительных работ
0,организации оперативного и статистического учета непосредственно по сопровождаемому проекту
0,технологии производства и организации ремонтных монтажных и строительных работ
0,действующие типовые сметы ГОСТы расценки и поправочные коэффициенты на ремонтные монтажные и строительные работы порядок их финансирования и расчетов с подрядными организациями
0,порядок составления титульных списков дефектных ведомостей ведомостей ремонта и другой технической документации
2,Оформление в штат компании и социальные гарантии в соответствие с ТК РФ корпоративные льготы.
2,Обучения и стажировки за счет компании либо на условиях частичной оплаты сотрудником.
2,Возможность реализовать собственный потенциал в одной из наиболее стремительно развивающейся и растущей отрасли в компании федерального уровня.
1,Проектирование проектной и рабочей документации по разделам: сети связи система пожарной сигнализации система оповещения и управления эвакуацией система комплексной автоматики
1,Совместная работа со смежными отделами в части подготовки технических заданий и согласования проектных решений
1,Защита документации в экспертизе.
0,Высшее (неоконченное высшее) или среднее техническое образование – ПГС электротехника электрика радиоэлектроника радиотехника связь приборостроение и тп
0,Свободное владение ПО: AutoCad (Желательно) Microsoft Office.
0,Быстрая обучаемость сообразительность активность умение брать на себя ответственность и доводить дело до конца
0,Умение работать в команде: поддерживать отношения слушать слышать и принимать чужое мнение умение в неконфликтной форме донести и отстоять свою позицию нонконформизм на этапе обсуждения и конформизм на этапе исполнения.
0,Ориентация на результат
0,Аналитический склад ума
0,Навыки рефлексии
2,Обучение сотрудника проектированию всем перечисленным выше системам в процессе работы (успешный кандидат через 3 месяца может выполнить часть перечисленных систем на приемлемом уровне)
2,5-дневная рабочая неделя;
2,Рабочий график с 9:00 до 18:00 пятница - с 9:00 до 17:00
2,Офис в центре города
2,Возможность карьерного роста;
2,Премии по результатам работы.
0,Организация и контроль проектной документации;
0,Контроль: обеспеченности документацией; устранения замечаний; технологической последовательности работ; устранения несоответствий; соответствия материалов конструкций и изделий требованиям документации.
0,Участие в: работе с надзорными органами; разработке технологических карт подготовка ведомости объемов работ проверка ППР
0,Контроль за проведением испытаний материалов своевременностью отбора проб продукции для испытаний используемых при строительстве на соответствие спецификациям изготовителя и подписание соответствующей документации;
0,Проверка и подтверждение готовности Генерального подрядчика к выполнению строительных работ (наличие разрешений допусков квалифицированного персонала оборудования соответствия лабораторий контроля качества необходимых измерительных инструментов и испытательного оборудования его полного наличия и рабочего состояния соблюдения метрологических правил по использованию мерительного инструмента комплектность проектной регламентирующей а также технической документации на объекте строительства);
0,Контроль за качеством производства и приемки строительных и специализированных работ;
0,"Проверка соответствия процесса производства работ качества работ и выявление отклонений (далее - ""несоответствий"") от проекта нормативных документов и технических регламентов соблюдения технологии выполнения общестроительных монтажных и специальных работ с обязательным отражением результатов проверки в Общем журнале производства работ и выдачей предписаний;"
0,Проведение операционного контроля качества работ Подрядчика в соответствии с разработанными картами операционного контроля по видам работ с использованием визуального инструментального и физического методов и документированным оформлением;
0,Осуществление приемки скрытых работ с оформлением соответствующей документации или соответствующих разрешений;
0,Проверка документации (технических паспортов сертификатов результатов лабораторных исследований и т.д.) с целью обеспечения качества изделий материалов и оборудования используемых для строительства а также их соответствия стандартам и правилам;
0,Инспектирование зданий и сооружений в период строительства и после его окончания
1,выполнение топографо-геодезических и маркшейдерских съемок;
1,замер и проверка геометрических параметров строительных конструкций свай и металлоконструкций.
0,среднее специальное или высшее профильное образование;
0,навыки работы в программах AutoCad CREDO и с тахометром Sokkia;
0,опыт работы в профессии от 1 года
1,Сборка окон ПВХ
0,Образование среднее
0,Внимательностьответственность
2,На производстве в цеху
2,Полностью белая заработная плата от 70 000 (договорная)
1,Техническое руководство СМР;
1,Контроль хода выполнения планов строительства (соответствие объемов сроков и качества СМР);
1,Контроль работы и выбор подрядных организаций;
1,Проведение работ по сдаче объектов;
1,Принятие технических решений по объектам;
1,Ведение официальной переписки по объектам;
1,Организация работ по ведению учета и составлению отчетности на объектах строительства;
1,Организация работ по подготовке и ведению договорной документации на выполнение СМР.
0,Опыт работы в жилищном строительстве;
0,Умение планировать мероприятия по проекту;
0,Умение ставить задачи и контролировать исполнение.
2,Пятидневная рабочая неделя с 9.00 до 17.30;
2,Заработная плата 140 000 рублей;
2,Место работы: Энтузиастов 29 а.
1,БЕЛАЯ заработная плата;
2,Опыт работы на аналогичной должности от 2 до 5 лет;
2,строительный бэкграунд знание экономики строительства модели управления строительным проектом.
1,контроль строительных и ремонтных работ контроль подрядчиков
1,подготовка документации для проведения работ
1,выезды на объекты
1,сдача в аренду недвижимости
1,прием и распределение заявок контроль исполнения заявок исходящие звонки исполнителям и поставщикам
1,прием входящих звонков консультирование клиентовэлектронная переписка
1,выполнение поручений руководителя.
0,высшее техническое образование (строительное будет преимуществом) также рассматриваются старшекурсники.
0,грамотная речь коммуникабельность желание обучаться и развиваться.
0,знание компьютера на пользовательском уровне знание профессиональных программ используемых в строительстве и проектировании будет преимуществом.
0,опыт работы не обязателен возможно обучение.
2,график 5/2
2,оплата труда включает фиксированную часть + премия по результатам работы
2,коллектив занятый в проекте небольшой удобное рабочее место
2,перспективы роста вместе с проектом.
1,"Получение рабочей документации ""РД"""
1,"Анализ рабочей документации ""РД"" выработка замечаний и корректировок"
1,Составление сопоставительных ведомостей РД со стадией П с учетом всех передаваемых измененных чертежей
1,Составление сравнительного анализа ВОР и РД
1,Формирование потребности согласно ЛЗК материалов и оборудования в соответствии с ежемесячными и квартальными графиками производства работ
1,Выверка объемов дополнительных работ в случае расторжения договора с субподрядчиком корректировка объемов дополнительных работ
1,Анализ и согласование изменений в номенклатуре материала
1,Согласование КМД с проектными организациями
1,Переписка с техническим заказчиком проектными и подрядными организациями
1,Разработка технических заданий для выбора субподрядчика
1,Разработка технических заданий на поставку материалов для выполнения общестроительных работ
0,Высшее профильное образование (ПГС)
0,Знание основных разделов ПД и РД
0,Умение работать с чертежами
0,Знание профильной нормативной документации в строительстве НТД (ГОСТ СНиП ВСН РД и т.д.);
0,Знание ПК: Word Excel AutoCAD Project
2,Официальная стабильная своевременная заработная плата
2,Уровень заработной платы обсуждается с кандидатом по итогам собеседования. Просьба в резюме указывать Ваши зарплатные ожидания.​​​​​​​
1,Разработка эскизов проектов;
1,Организация пространства без визуализации;
1,Развитие и поддержание дизайнерских идей в строительной компании;
1,Взаимодействие со смежными отделами.
0,Знание дизайнерских программ;
0,Творческое мышление;
0,Индивидуальность;
0,Пунктуальность;
0,Усидчивость.
2,График работы 5/2 с 9.30 до 18:30 ( по истечению испытательного срока 3 месяца обсуждается график работы удаленного формата);
2,Персональное рабочее место с хорошей мебелью компьютером;
2,Стабильный оклад + бонусная часть по результатам выполненных работ;
2,Стабильная белая зарплата;
2,Рост личностный и в заработной плате;
2,Интересная работа в молодом и дружном коллективе ТОП-овой компании загородного домостроения;
2,Корпоративные мероприятия;
2,Оплата питания на территории в рабочий день;
2,Регулярные профессиональные тренинги.
1,Осуществление геодезического операционного строительного контроля на объектах строительства реконструкций и капитальных ремонтов автомобильных дорог;
1,Проверка и согласование технической документации исполнительных геодезических схем инженерно-геодезических изысканий в составе рабочей документации проведения проверок сезонного освидетельствования геодезической разбивочной основы на объекте;
1,Контроль своевременного геодезического обеспечения строительных работ Подрядчиком и достоверности документирования его результатов контроль ведения оперативного журнала геодезических работ;
1,Ведение отчетной документации по геодезическому строительному контролю на объекте;
1,Совместно с подрядчиком освидетельствование скрытых работ и промежуточная приемка возведенных строительных конструкций влияющих на безопасность объекта капитального строительства участков сетей инженерно-технического обеспечения;
1,Проверка совместно с подрядчиком соответствия законченного строительством объекта требованиям проектной и подготовленной на ее основе рабочей документации результатам инженерных изысканий требованиям градостроительного плана земельного участка требованиям технических регламентов;
1,Иные мероприятия в целях осуществления строительного контроля в рамках геодезического обеспечения предусмотренные законодательством Российской Федерации и (или) заключенным договором.
0, Наличие высшего образования в области геодезии или строительного образования (специализация: дороги); 
0, Наличие общего трудового стажа в области строительства не меньше 5 лет; 
0, Наличие стажа работы в организациях осуществляющих строительство реконструкцию или капитальный ремонт объектов капитального строительства на инженерных должностях не менее 5 лет; 
0, Продвинутые навыки пользования геодезическим оборудованием (тахеометр Trimble ГНСС-оборудование Sokkia цифровой нивелир); 
0, Уверенный пользователь ПК (MS WORD MS OUTLOOK MS EXCEL AUTOCAD); 
0, Продвинутые навыки работы в геодезическом программном обеспечении (Autodesk Civil Topcon Tools Magnet Office Credo или аналоги). 
0, Знание актуальной нормативной геодезической документации в автодорожном строительстве. 
